timestamp,alertname,value
2021-07-14 19:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 19:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 20:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 20:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 20:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 20:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 20:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 20:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 21:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 21:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 21:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 21:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 21:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 21:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 22:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 22:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 22:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 22:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 22:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 22:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 23:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 23:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 23:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 23:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 23:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 23:50:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 00:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 00:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 00:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 00:30:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 00:40:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-15 00:50:00,APIRemovedInNextReleaseInUse,4882.0
